Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
13281,,,,,,0,,,,,,,,,,,,
13282,,,,,,0,,,,,,,,,,,,
13283,,,,,,0,,,,,,,,,,,,
13284,,,,,,0,,,,,,,,,,,,
13285,,,,,,0,,,,,,,,,,,,
13286,,,,,,0,,,,,,,,,,,,
13287,,,,,,1,1889,1901,,,,,,,,,,
13288,,,,,,0,,,,,,,,,,,,
13289,,,,,,0,,,,,,,,,,,,
13290,,,,,,0,,,,,,,,,,,,
13291,,,,,,0,,,,,,,,,,,,
13292,,,,,,1,1870,1881,,,,,,,,,,
13293,,,,,,0,,,,,,,,,,,,
13294,,,,,,0,,,,,,,,,,,,
13295,,,,,,0,,,,,,,,,,,,
13296,,,,,,0,,,,,,,,,,,,
13297,,,,,,0,,,,,,,,,,,,
13298,,,,,,1,1865,1880,,,,,,,,,,
13299,,,,,,0,,,,,,,,,,,,
13300,,,,,,0,,,,,,,,,,,,
13301,,,,,,0,,,,,,,,,,,,
13302,,,,,,1,1871,1880,,,,,,,,,,
13303,,,,,,1,1851,1861,,,,,,,,,,
13304,,,,,,0,,,,,,,,,,,,
13305,,,,,,0,,,,,,,,,,,,
13306,,,,,,1,0,12,,,,,,,,,,
13307,,,,,,1,1854,1859,,,,,,,,,,
13308,,,,,,1,1852,1863,,,,,,,,,,
13309,,,,,,0,,,,,,,,,,,,
13310,,,,,,0,,,,,,,,,,,,
13311,,,,,,0,,,,,,,,,,,,
13312,,,,,,0,,,,,,,,,,,,
13313,,,,,,1,1863,1869,,,,,,,,,,
13314,,,,,,0,,,,,,,,,,,,
13315,,,,,,0,,,,,,,,,,,,
13316,,,,,,1,1850,1856,,,,,,,,,,
13317,,,,,,0,,,,,,,,,,,,
13318,,,,,,0,,,,,,,,,,,,
13319,,,,,,0,,,,,,,,,,,,
13320,,,,,,0,,,,,,,,,,,,
13321,,,,,,1,1840,1844,,,,,,,,,,
13322,,,,,,0,,,,,,,,,,,,
13323,,,,,,0,,,,,,,,,,,,
13324,,,,,,0,,,,,,,,,,,,
13325,,,,,,0,,,,,,,,,,,,
13326,,,,,,1,1827,1837,,,,,,,,,,
13327,,,,,,0,,,,,,,,,,,,
13328,,,,,,0,,,,,,,,,,,,
13329,,,,,,0,,,,,,,,,,,,
13330,,,,,,1,1836,1846,,,,,,,,,,
13331,,,,,,0,,,,,,,,,,,,
13332,,,,,,0,,,,,,,,,,,,
13333,,,,,,0,,,,,,,,,,,,
13334,,,,,,0,,,,,,,,,,,,
13335,,,,,,0,,,,,,,,,,,,
13336,,,,,,0,,,,,,,,,,,,
13337,,,,,,0,,,,,,,,,,,,
13338,,,,,,0,,,,,,,,,,,,
13339,,,,,,0,,,,,,,,,,,,
